,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,A,B,GSM26878.CEL,GSM26883.CEL,GSM26887.CEL,GSM26903.CEL,GSM26910.CEL,GSM26888.CEL,GSM26889.CEL,GSM26892.CEL,GSM26898.CEL,GSM26906.CEL
209337_at,NA,NA,-2.4830768123574,8.42616715717158,-9.04734918435558,5.50290869639282e-08,4.19109992330656e-05,8.58543056536925,-2.4830768123574,7.0035351712315,9.4866119835889,6.88543089207992,6.5366197736678,7.1574213599321,7.31161984388762,7.12658398659007,9.03936003051856,9.62948177527806,10.3293636257874,9.55342896794247,8.88142551841802
221505_at,NA,NA,-2.65138931558986,9.67358521059631,-8.56648848031853,1.20477704653045e-07,8.34891096191278e-05,7.85791048592009,-2.65138931558986,8.0987389993545,10.7501283149444,8.88752358415488,8.55684083294942,8.1466594382681,7.47007439159202,7.43259674980808,10.202171255364,11.0473007147486,11.1111465853269,11.1729072594971,10.2171157597853
218211_s_at,NA,NA,2.68228350962269,10.9327692345868,8.53718580404304,1.26485874587104e-07,8.34891096191278e-05,7.8125203107256,2.68228350962269,11.7848222196825,9.10253871005986,11.6937819902326,12.171555484421,11.2233164581892,12.1055877812432,11.7298693843267,8.91010725246772,9.45502318586998,8.9679173393438,9.31586186109718,8.86378391152061
219736_at,NA,NA,2.4152042989447,7.04315333910413,8.33817136077058,1.76530343461433e-07,0.000106682177161456,7.5009779405151,2.4152042989447,8.38693327229201,5.97172897334731,7.82776554795315,7.55344498955635,8.85205180578773,9.24121639539847,8.46018762276435,6.04873019905011,6.17594403182006,5.79488291334884,5.93926311565744,5.89982460686013
209786_at,NA,NA,-2.30898845696249,9.81043750131007,-8.31630057070812,1.83173115013106e-07,0.000106682177161456,7.46639157019208,-2.30898845696249,8.454843443953,10.7638319009155,8.50190126718669,8.15106060795216,9.06899520242254,8.49808923989191,8.05417090231172,10.5640672302352,11.1942013682709,10.4786204981134,10.7938595658505,10.7884108421076
204061_at,NA,NA,-1.76796526884358,7.68545651806165,-8.26108990334144,2.01129723988268e-07,0.000110632522067102,7.37877214467247,-1.76796526884358,6.95969286298855,8.72765813183213,6.89530877008692,7.03954541251481,7.12282198933546,6.89196745861191,6.84882068439367,8.72592717516333,9.1933028493355,8.9851658613926,8.32754096539268,8.40635380787655
206509_at,NA,NA,5.58104713359395,10.1868139102831,8.17903278602379,2.31286964201286e-07,0.000117642615565807,7.24772543796913,5.58104713359395,12.9873063591924,7.40625922559845,13.1254435893546,11.8970519588234,12.9210306693752,13.3458625580317,13.6471430203772,7.4576450603011,6.78388028906426,7.75390444024048,8.02448716288604,7.01137917550036
211682_x_at,NA,NA,4.31440189911947,8.57563671253186,8.16318072162212,2.37637845805085e-07,0.000117642615565807,7.22229579992282,4.31440189911947,11.1707204725692,6.85631857344969,11.6181635026568,10.779730574723,11.644801789306,9.18644212374612,12.6244643724139,6.85874915889991,6.61970515718215,7.1056033690589,6.87323835979921,6.8242968223083
204942_s_at,NA,NA,3.78583830303145,9.30924952152222,8.05369140774984,2.86783972182575e-07,0.00013521181469427,7.04564619455715,3.78583830303145,11.287025417125,7.50118711409356,10.3712479093912,10.7271425795206,11.4537359684507,12.1759301992134,11.7070704290491,6.557525369585,8.18940074221334,6.57546588176777,7.86117890679175,8.32236467010994
205961_s_at,NA,NA,-1.69960240151842,7.91375344687102,-8.01415815612228,3.0704169506724e-07,0.000138182719220943,6.98142913374001,-1.69960240151842,6.95038681049793,8.64998921201635,6.96127930431856,7.0272905751872,6.78115037445345,6.97129162075346,7.01092217777697,8.27856652549069,8.66841194879316,9.33714000088765,8.70476186562918,8.26106571928107
