;Symbol;GSM26878.CEL;GSM26883.CEL;GSM26887.CEL;GSM26903.CEL;GSM26910.CEL;GSM26888.CEL;GSM26889.CEL;GSM26892.CEL;GSM26898.CEL;GSM26906.CEL;GSM26879.CEL;GSM26896.CEL;GSM26897.CEL;GSM26907.CEL;GSM26911.CEL
214735_at;IPCEF1;6,88251866947455;6,74257691158211;6,83089583482701;7,20104803120857;7,14932649000246;7,2038803501895;6,92749390406443;7,01448949630307;6,95863583621822;7,96282021660589;7,06473167124258;7,76400661869741;6,78837366058551;6,90372851958967;6,87087371828173
214736_s_at;ADD1;8,36885877979984;8,37970132064856;7,82233844049447;8,65609877817271;8,77267183814369;8,31719519084661;7,72872802559664;8,03579318775989;7,968347177858;8,79563949635829;8,5998906947162;8,36885877979984;8,89551977644139;8,37060008997329;7,60360974919962
214742_at;CEP131;6,30141746477059;7,29120705123085;6,29628980023358;6,14438159831494;6,50552357448053;6,49492441774444;6,54025760060596;6,95260458990674;6,80274398082852;7,02197961340762;6,88049148026644;7,00696468427761;6,97732482506426;6,89967038732145;6,7796634344479
214743_at;CUX1;8,9805523861872;9,03819173232966;8,58250300713471;9,18304255959252;8,51627353430943;9,4323499315603;9,49484006253892;8,84441930122219;9,07830796965975;9,33443876353986;9,78444049246829;9,62836239538207;9,3926473250228;9,43864004168351;9,16163795319907
214745_at;PLCH1;6,13666896963621;5,75981904494005;7,55945533202568;6,06324655783261;6,21191438659841;5,80566941530643;6,47550357321007;6,95968269883023;6,36141920325882;6,37751980743729;5,99988106846834;5,86204656473051;5,5776077987223;5,83681221762878;6,55408527977781
214746_s_at;ZNF467;7,87181492419286;7,54173947038306;7,21656779976343;7,41039891642011;7,17177620480951;7,16954544135104;7,05569723996342;7,06556393130292;7,07266090600892;6,78834056543186;7,82806221312212;7,60290688257319;7,64915975684814;7,66224222825323;7,6781182782175
214748_at;N4BP2L2;7,07965446369981;7,73180145395997;7,0668140914147;7,07327839579646;7,11444855206654;6,91703083801063;6,7159198714616;6,83678263970531;7,13438714352192;7,17661131954808;7,11429137037811;6,85631397575863;6,92917542354006;8,00629075698786;7,3730899990486
214749_s_at;ARMCX6;11,5706367833054;11,7592296648056;11,6818178029699;11,4224305855974;12,0172267980047;11,826218786015;11,8037439551283;11,8336575789009;12,0158989367759;11,8863553200103;11,4480116033585;11,1264986282084;11,6726261804844;11,9774298054755;11,2356082659729
214751_at;ZNF468;6,54266940631818;5,75900223437274;6,8387719860106;6,20149498961183;7,12699208430411;5,49619149665195;6,11415430677812;6,09841227384077;5,83558495262795;6,12853296983289;5,96112205421597;6,38100942866025;6,48068344813383;6,44330478648875;6,52335816416583
214752_x_at;FLNA;8,6686664344959;8,51845619015218;8,76389749780223;8,72839748243447;8,81978094577041;9,36636360495782;9,89217793125548;8,87765625513843;8,70230695250069;9,22600502073608;9,01365450911074;8,86503825611457;8,81526968540739;8,73640433387799;8,54910712127845
