,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,B,L,GSM26888.CEL,GSM26889.CEL,GSM26892.CEL,GSM26898.CEL,GSM26906.CEL,GSM26879.CEL,GSM26896.CEL,GSM26897.CEL,GSM26907.CEL,GSM26911.CEL
209602_s_at,NA,NA,-4.09395383185628,8.7143364753511,-7.36500368654452,9.6981173572229e-07,0.000603953098297275,5.83877633416885,-4.09395383185627,6.79735685372269,10.891310685579,5.42761913654328,7.98722442195407,7.87025970213349,4.89525966202734,7.80642134595526,11.2981906324747,10.7209037763664,10.8108663441493,10.7617818776044,10.8648107973
219197_s_at,NA,NA,-1.64979582741657,8.01480201696556,-7.36150669301417,9.75987230861166e-07,0.000603953098297275,5.83291721640827,-1.64979582741657,7.41980931700791,9.06960514442449,7.82149511578741,7.25032237303058,7.28169382461339,7.64014634353618,7.10538892807202,9.67107048845489,8.80684186986679,8.7575610896488,9.34478569799312,8.76776657615883
207039_at,NA,NA,2.48321397194901,7.34381046836941,7.23824281035967,1.22199917441698e-06,0.000649654770235325,5.62517110692253,2.48321397194901,9.07438960498468,6.59117563303567,7.80993722348562,8.95161285385475,10.2700324424823,8.76541288130674,9.574952623794,6.66432159695731,6.35523762316963,7.12629283738842,6.45200828260686,6.3580178250561
209459_s_at,NA,NA,-3.32539904416104,6.81467956844106,-7.23623987649612,1.22649171099086e-06,0.000649654770235325,5.62177579034509,-3.32539904416104,5.21108081654889,8.53647986070993,5.41463333272155,5.377965413068,4.75666095366594,4.64407918298429,5.86206520030466,9.54915988542064,9.465431443425,7.58896807805473,7.61130900080767,8.46753089584161
219956_at,NA,NA,-2.06797731040126,7.95526987196593,-7.20018274493114,1.31037330323956e-06,0.000649654770235325,5.5605453796602,-2.06797731040126,6.82469138937825,8.89266869977951,6.6985400774643,6.71162075280641,7.18185238957771,6.68479371364639,6.84665001339646,8.61963448086443,8.10514702008484,9.514138843102,8.63372250837705,9.59070064646925
215034_s_at,NA,NA,2.40062605285096,9.71092026764562,7.19938246643087,1.31230132357403e-06,0.000649654770235325,5.55918407846056,2.40062605285096,11.2090975227558,8.80847146990488,10.4345641186282,11.807911477249,11.6812504386938,11.4383072833405,10.6834542958676,8.20240103479585,9.58332861256259,8.93470247413699,8.30082877934312,9.02109644868583
203637_s_at,NA,NA,2.57308502389812,7.5295201543422,6.56271175925322,4.345094783347e-06,0.00204860873571041,4.44443981001991,2.57308502389811,9.16256574082479,6.58948071692668,10.3495272256001,10.113144014062,8.37120859738232,7.99255360490002,8.98639526217947,6.31120937350501,7.37871662327005,6.5541300338696,6.49804451894807,6.20530303504064
218847_at,NA,NA,1.28197039126263,7.03004895548763,6.52265861327014,4.69365660848394e-06,0.00209646325362951,4.37219990837402,1.28197039126263,7.94562104082888,6.66365064956625,7.35671285154895,8.22628676636185,8.24020555578863,7.89070399903255,8.01419603141242,6.48525690050177,6.91935572980065,6.57133655284652,6.52037927199084,6.82192479269147
209387_s_at,NA,NA,2.18748298868018,9.27626220627227,6.5035459368356,4.87007926810208e-06,0.00209646325362951,4.33764095202114,2.18748298868018,10.6560509926688,8.46856800398858,9.81158615498113,11.4042868939581,10.9852170354781,10.9320799097398,10.1470849691868,7.7802171989608,9.06587619421585,8.76034066228188,8.09195226791327,8.64445369657111
212446_s_at,NA,NA,-1.44473154474029,7.98520804485289,-6.3977255561504,5.97927463994778e-06,0.00237019305745772,4.14528247468804,-1.44473154474029,7.02321317852419,8.46794472326448,7.03271469266981,7.16259812288085,7.16930280939931,7.08757615726322,6.66387411040776,8.14707407931515,8.22270001724609,8.93571655097484,8.89919909848395,8.13503387030237
212442_s_at,NA,NA,-1.41653352281062,9.56910493942887,-6.37982867556225,6.19134072682798e-06,0.00237019305745772,4.1125800038543,-1.41653352281062,8.62988366437043,10.0464171871811,8.37190221028701,8.67453556207382,9.01656168393948,8.74899379681082,8.33742506874104,9.76177510141581,9.75312634993363,10.1303698373937,10.512527196366,10.0742874507962
