;symbol;ID;GrupID;PF14;PF19;PF23;PF39;PF46;PF24;PF25;PF28;PF34;PF42;PF15;PF32;PF33;PF43;PF47
209341_s_at;IKBKB;209341_s_at;1;8,37664784652077;8,0940782196543;8,87504824348795;8,46957326777319;8,37890304580665;8,97126792736897;8,68526943898926;8,5708587985894;8,21234569955943;9,37946811021918;9,50028215023363;9,26248807168209;10,220098093237;10,7023742832079;8,69960961853006
201860_s_at;PLAT;201860_s_at;1;8,65190045344854;8,73703837756941;7,95408899893617;7,11513255864851;8,69502067551243;9,42789248812503;8,65608427899155;7,6132740317929;7,58995269214529;8,50273428149384;10,5329055171359;9,10041891801863;11,8048437077024;12,4494168579675;7,86939701220539
222108_at;AMIGO2;222108_at;1;8,88908776974932;7,65489712139024;9,46403792984007;7,29815278007807;9,06754055241421;7,9708380240608;9,25316751492663;7,97308592729562;7,44197258586157;8,82739164400114;10,051210103475;10,8914551694129;11,7637718625899;10,6533435588375;7,94426590488617
219474_at;C3orf52;219474_at;1;6,77869813151808;7,45770830917676;7,01355633177292;6,09509535668872;6,23266126790542;6,6559236657339;8,49427999279285;7,22354340095318;6,74675062541444;7,41802651470765;9,23677897363346;6,78498873470777;9,09317993915476;10,1722505732165;7,2414506530831
219090_at;SLC24A3;219090_at;1;7,44533738255832;7,93893654462987;7,77297175670491;7,0680250151642;8,03760937089243;8,05878080380796;8,72485426828539;7,5865659072014;8,34466841807088;8,29310178532076;9,29016129117739;8,25216097792915;9,75894944914811;9,70151821959055;8,33177226096787
219109_at;SPAG16;219109_at;1;5,71568241692168;6,19446328905872;5,34751356198666;5,79368603863132;5,55862299805314;6,51186864238391;7,0528825974916;6,23276684253883;6,76247963472043;6,46666177054275;6,7616140062985;6,42371169459011;8,37707405305606;9,25083433201204;6,86876158891189
201826_s_at;SCCPDH;201826_s_at;1;8,26757060641622;7,888033160675;8,38520402234369;7,4921755309233;7,75755342102543;8,44007786530675;9,70911974387431;7,9062046231094;7,86737030731259;8,07244891449795;8,58489046491417;8,53504480183603;10,8101575580734;10,2734847485564;8,55067257339855
201825_s_at;SCCPDH;201825_s_at;1;8,4118480768166;7,67937373333188;8,88988362015922;7,76205604790694;7,72487845949531;9,06008779415823;9,80628661302725;8,63972601536588;8,26685260060143;8,39892228973622;9,0619845809835;8,4195592962291;10,7152058341141;10,2119357768767;9,74744278321977
219359_at;PGGHG;219359_at;1;7,24716830203157;7,41766783728785;7,32208226717989;7,29725206158564;7,32910377592136;7,33251081566564;7,11938084928943;7,02328737118288;7,8896563639033;7,41009531910128;7,91852821641839;7,81720514286908;8,46876268680887;9,95341071604985;8,28489510783625
214077_x_at;MEIS3P1;214077_x_at;1;6,92365155704344;7,18787815496389;7,49930267080162;6,67283470136976;6,90371628378636;7,64585191247751;7,05452951636699;6,6771671149182;6,87246150710028;7,18787815496389;7,34428990167373;8,0888435043473;7,86998788925747;9,34243809452348;7,94808421578268
204624_at;ATP7B;204624_at;1;7,75944332714836;8,82454417279401;8,12667367881559;7,41545698447738;7,69356035526754;7,65782983538614;7,67006741254151;8,21755790221367;7,68754149208205;7,47055146993314;8,54239905996473;9,8261226293427;9,60964440117862;10,3761373813621;9,15090604456494
206167_s_at;ARHGAP6;206167_s_at;1;5,32789259992405;5,19749612766753;5,09830706483057;5,23518540217317;5,28048557504155;5,9490682229273;6,10064025194987;5,21109166474566;5,31713103445905;5,51397203020265;5,22822146133542;6,73663981412;5,56292319087379;7,40764906528611;6,4603923706591
221823_at;C5orf30;221823_at;1;7,12979515778111;7,84978729509838;8,17165310893878;8,13283045237583;7,43909171437747;7,18161981675478;7,37003137104593;8,06281551452876;7,34343905177777;8,62173816245875;8,46063628071938;9,39721096835695;9,70678704206489;8,88894477478563;9,00289977853834
204070_at;PLAAT4;204070_at;1;9,15051070824051;9,38424203193659;9,60713864621664;7,98196026895276;7,63092893801756;8,09143252403046;8,56894684363652;8,86083889849635;7,10637832567238;10,1193985783252;9,25317157255884;10,6699958601997;9,79999860288092;9,76360115704987;10,3981489439012
218677_at;S100A14;218677_at;1;8,03593398119581;11,1406683542788;8,87569968263323;8,0583839719602;8,51923315717014;7,83393234930965;10,7683296492662;10,7132885411527;8,51765268752042;10,1809234100013;9,91539373368181;11,1638514674258;11,5593567356871;11,024321027246;11,5927327044167
202786_at;STK39;202786_at;1;6,72557052826908;8,1699411830061;6,82574381175598;6,44655761069153;6,29578513088206;7,78191897580325;8,37515843317704;7,78191897580325;6,95735454480958;7,56416045035114;8,03786526806413;9,16834886472659;8,67962334241197;9,11012944569041;9,01562487993515
205624_at;CPA3;205624_at;1;8,62656331564803;8,36134759785227;7,99074442335453;8,61540861780118;8,18577960218784;8,86830404646916;8,41192641880304;8,02858597134781;7,67270175135373;8,63867846701528;8,97243464512371;8,96193848699596;9,71815731595055;9,89630213311492;9,88490421432135
204863_s_at;IL6ST;204863_s_at;1;7,82182683257051;7,28252998711492;6,77940180511919;7,82770832977398;6,69458072488378;7,83019473379903;7,38241542892407;7,01550516395526;6,44761280630941;7,97285069847039;7,66603939576822;8,16894346693706;8,67014649047652;8,62622405275259;9,47366280909321
212196_at;IL6ST;212196_at;1;8,35428305021266;7,83652478079332;8,11468575834989;8,38867879849898;7,88514748206839;8,35769523207216;7,97737302615834;7,88903240226438;7,73429437139997;8,70864458914785;8,49156178152563;8,73723847530015;9,76385533832718;9,57538931648289;10,6306742877763
211000_s_at;IL6ST;211000_s_at;1;7,1333421510014;6,98362596379326;6,69678833550714;7,30134298276891;6,87289822652474;7,49661107825064;7,18810621541115;7,08285001484614;6,61699524903884;7,55838943210595;7,38729426322952;7,66214742817434;8,59053379147319;7,98078499088807;9,01495473386995
212195_at;IL6ST;212195_at;1;10,3333052945506;9,17149005734935;10,0681682656374;10,104511126574;9,60962618289514;10,9645676113022;10,6890739185588;10,3520067707772;9,32002946766221;11,1540491184848;10,6455698110066;11,5671590197363;11,7659076010603;11,5839201668133;12,2611802864988
213992_at;COL4A6;213992_at;1;6,0900167030743;5,98406603327644;6,28723048693585;5,95014980148768;6,47043376887837;5,93324225175341;5,81273379354262;5,85590007809664;5,83604364530461;5,75464698852536;6,01669393471148;7,05077923915488;6,96135334403835;6,66669564389865;7,99761931724265
203749_s_at;RARA;203749_s_at;1;7,31056925556577;7,12754857627078;7,64941899565629;7,02607808995848;7,07493416355985;6,98313891947546;6,67165817448895;6,78601482238346;7,141631908838;7,04180182649659;7,48786201725544;7,68890311712418;8,07114973793188;7,49958189676695;9,95320417035827
212051_at;WIPF2;212051_at;1;8,16425033412091;8,1020436296037;7,92263726709394;7,99828415619299;8,40260879241367;8,46226267291594;8,03200212585933;8,15596073094319;8,28455103605048;8,10546134960063;8,18844897536441;8,58977612749179;9,99497784302699;8,9068176678431;11,0156123707908
215108_x_at;TOX3;215108_x_at;1;7,43911075485639;8,95245055523384;7,37649850435294;4,53385268165903;4,63498785245365;4,45422624032567;5,15430018580091;7,03542758595694;6,81474758495565;4,73191418330847;7,80301302354627;6,93042925211439;9,83873155707213;7,98778149935052;9,33427883022362
214774_x_at;TOX3;214774_x_at;1;8,48318716056741;10,0886301963455;8,35025581956977;4,82818953810863;5,00008219404273;4,85799984035099;5,77443825246915;8,26008432580473;7,6966386889888;4,89545502451542;8,74038109406439;7,8618441536646;10,9174190335496;9,1483824016865;10,4857092906584
216623_x_at;TOX3;216623_x_at;1;7,84178619277514;9,38143720664715;7,98907773167105;5,02624199615869;4,67157312488003;4,48796284752696;5,07693567543804;7,36517639039864;6,8991045974256;4,82810427784609;8,11399167621323;7,27122264860201;10,318146237845;8,4621374829944;9,64823542008519
203896_s_at;PLCB4;203896_s_at;1;6,15307218289835;7,45832954359819;7,22697019739739;6,26217902214666;6,14646900025174;5,87139736428514;5,76623158869504;6,13099561537299;6,10141790864309;5,33479368314735;6,48551171714614;5,67308906411078;8,25987504373672;7,57879788988674;7,11845989539624
204542_at;ST6GALNAC2;204542_at;1;7,94447447567142;8,6706462884161;8,69341427315979;7,89321146911801;7,94658436437841;7,30733003368327;8,16491188067325;7,55889021429407;9,06449523536506;7,287981304337;9,52107529661893;8,41311793625787;10,0355613493099;9,85758716145968;9,54120730715968
